Attention,Meditation,Eye Blink,Average,Emotion
9,38,20,22.33333333,Relaxed
1,4,1,2,Drunker
33,87,11,43.66666667,Happy
11,26,21,19.33333333,Relaxed
44,3,21,22.66666667,Relaxed
28,79,1,36,Concentrated
22,2,6,10,Sad
82,5,17,34.66666667,Concentrated
88,32,14,44.66666667,Happy
22,98,8,42.66666667,Drunker
50,100,14,54.66666667,Happy
74,16,10,33.33333333,Concentrated
79,62,17,52.66666667,Happy
1,32,12,15,Relaxed
64,20,1,28.33333333,Drunker
84,48,7,46.33333333,Happy
49,87,21,52.33333333,Happy
31,53,1,28.33333333,Drunker
41,2,6,16.33333333,Relaxed
21,97,18,45.33333333,Happy
63,99,13,58.33333333,Fear
5,80,19,34.66666667,Concentrated
20,10,6,12,Sad
38,29,9,25.33333333,Relaxed
12,98,16,42,Concentrated
12,81,11,34.66666667,Concentrated
26,45,7,26,Relaxed
59,87,16,54,Happy
76,61,14,50.33333333,Happy
70,77,18,55,Happy
98,9,12,39.66666667,Concentrated
62,74,6,47.33333333,Happy
17,77,14,36,Concentrated
9,45,8,20.66666667,Relaxed
15,14,9,12.66666667,Sad
29,17,15,20.33333333,Relaxed
47,10,13,23.33333333,Relaxed
70,19,11,33.33333333,Concentrated
57,46,1,34.66666667,Concentrated
27,57,12,32,Concentrated
76,35,12,41,Concentrated
14,4,7,8.333333333,Sad
4,62,10,25.33333333,Relaxed
21,98,7,42,Concentrated
59,65,5,43,Happy
64,21,11,32,Concentrated
56,58,12,42,Concentrated
30,84,17,43.66666667,Happy
7,82,12,33.66666667,Concentrated
24,1,5,10,Sad
85,4,8,32.33333333,Concentrated
38,80,18,45.33333333,Happy
55,30,1,28.66666667,Drunker
69,26,12,35.66666667,Concentrated
8,14,12,11.33333333,Sad
18,23,8,16.33333333,Relaxed
92,12,9,37.66666667,Concentrated
36,42,7,28.33333333,Drunker
93,79,19,63.66666667,Fear
71,11,12,31.33333333,Concentrated
1,93,2,32,Concentrated
92,46,14,50.66666667,Happy
56,20,20,32,Concentrated
86,100,7,64.33333333,Fear
99,80,3,60.66666667,Fear
4,43,14,20.33333333,Relaxed
6,67,10,27.66666667,Relaxed
13,97,5,38.33333333,Concentrated
6,25,5,12,Sad
26,69,3,32.66666667,Concentrated
32,8,6,15.33333333,Relaxed
12,73,18,34.33333333,Concentrated
37,95,21,51,Happy
68,11,18,32.33333333,Concentrated
74,100,6,60,Fear
73,87,19,59.66666667,Fear
45,78,15,46,Happy
4,34,8,15.33333333,Relaxed
33,72,3,36,Concentrated
97,74,20,63.66666667,Fear
74,50,7,43.66666667,Happy
43,80,13,45.33333333,Happy
68,51,5,41.33333333,Concentrated
49,64,11,41.33333333,Concentrated
70,99,3,57.33333333,Fear
51,1,11,21,Relaxed
5,35,1,13.66666667,Sad
89,47,20,52,Happy
56,93,21,56.66666667,Drunker
16,5,5,8.666666667,Sad
38,52,13,34.33333333,Concentrated
17,83,18,39.33333333,Concentrated
55,72,5,44,Happy
47,89,13,49.66666667,Happy
70,90,19,59.66666667,Fear
100,96,2,66,Fear
76,34,15,41.66666667,Concentrated
66,9,8,27.66666667,Relaxed
80,12,20,37.33333333,Concentrated
70,59,3,44,Happy
68,35,7,36.66666667,Concentrated
55,35,21,37,Concentrated
72,13,8,31,Concentrated
47,70,15,44,Happy
85,11,3,33,Concentrated
43,19,13,25,Relaxed
70,77,8,51.66666667,Happy
46,24,14,28,Relaxed
12,26,17,18.33333333,Relaxed
88,48,5,47,Happy
53,79,20,50.66666667,Happy
48,77,18,47.66666667,Happy
68,73,13,51.33333333,Happy
27,72,13,37.33333333,Concentrated
16,65,1,27.33333333,Relaxed
97,12,20,43,Happy
4,52,9,21.66666667,Relaxed
24,22,7,17.66666667,Relaxed
42,19,21,27.33333333,Relaxed
77,79,4,53.33333333,Happy
10,86,10,35.33333333,Concentrated
35,18,11,21.33333333,Relaxed
58,54,9,40.33333333,Concentrated
61,52,9,40.66666667,Concentrated
1,11,11,7.666666667,Sad
69,78,5,50.66666667,Happy
63,34,11,36,Concentrated
60,16,3,26.33333333,Relaxed
90,36,17,47.66666667,Happy
15,93,19,42.33333333,Drunker
14,92,13,39.66666667,Concentrated
32,21,10,21,Relaxed
13,33,21,22.33333333,Relaxed
69,61,15,48.33333333,Happy
88,31,6,41.66666667,Concentrated
85,95,16,65.33333333,Fear
3,42,5,16.66666667,Relaxed
39,18,1,19.33333333,Relaxed
57,12,19,29.33333333,Concentrated
49,35,15,33,Concentrated
26,28,1,18.33333333,Relaxed
10,41,12,21,Relaxed
27,9,20,18.66666667,Relaxed
41,87,6,44.66666667,Happy
17,15,6,12.66666667,Sad
100,99,13,70.66666667,Drunker
26,28,15,23,Relaxed
30,3,15,16,Relaxed
81,26,20,42.33333333,Drunker
20,1,1,7.333333333,Sad
46,92,16,51.33333333,Happy
16,33,16,21.66666667,Relaxed
39,53,15,35.66666667,Concentrated
92,15,19,42,Concentrated
31,49,17,32.33333333,Concentrated
51,76,8,45,Happy
32,45,5,27.33333333,Relaxed
68,75,14,52.33333333,Happy
21,46,21,29.33333333,Concentrated
59,87,18,54.66666667,Happy
43,76,3,40.66666667,Concentrated
29,52,5,28.66666667,Drunker
97,81,20,66,Fear
25,66,21,37.33333333,Concentrated
90,49,15,51.33333333,Happy
61,28,9,32.66666667,Concentrated
94,64,12,56.66666667,Drunker
55,6,2,21,Relaxed
77,91,8,58.66666667,Fear
51,62,16,43,Happy
54,46,14,38,Concentrated
2,86,8,32,Concentrated
23,8,5,12,Sad
54,59,3,38.66666667,Concentrated
35,18,13,22,Relaxed
61,22,20,34.33333333,Concentrated
45,64,9,39.33333333,Concentrated
47,1,6,18,Relaxed
83,79,1,54.33333333,Happy
28,60,14,34,Concentrated
88,82,16,62,Fear
10,25,11,15.33333333,Relaxed
43,49,21,37.66666667,Concentrated
70,10,15,31.66666667,Concentrated
35,50,8,31,Concentrated
20,1,10,10.33333333,Sad
1,50,19,23.33333333,Relaxed
29,33,9,23.66666667,Relaxed
98,13,20,43.66666667,Happy
24,52,8,28,Relaxed
54,6,4,21.33333333,Relaxed
2,50,19,23.66666667,Relaxed
56,78,15,49.66666667,Happy
73,26,2,33.66666667,Concentrated
83,86,13,60.66666667,Fear
56,17,2,25,Relaxed
95,92,16,67.66666667,Fear
7,73,7,29,Concentrated
10,62,15,29,Concentrated
13,96,7,38.66666667,Concentrated
56,9,10,25,Relaxed
89,37,19,48.33333333,Happy
53,20,15,29.33333333,Concentrated
52,83,12,49,Happy
87,60,1,49.33333333,Happy
94,74,11,59.66666667,Fear
19,14,8,13.66666667,Sad
93,57,13,54.33333333,Happy
22,22,11,18.33333333,Relaxed
33,88,7,42.66666667,Drunker
55,4,15,24.66666667,Relaxed
61,93,16,56.66666667,Drunker
53,15,2,23.33333333,Relaxed
41,85,11,45.66666667,Happy
51,24,7,27.33333333,Relaxed
56,90,10,52,Happy
64,64,2,43.33333333,Happy
19,94,7,40,Concentrated
20,48,7,25,Relaxed
48,45,11,34.66666667,Concentrated
61,2,1,21.33333333,Relaxed
15,62,20,32.33333333,Concentrated
16,69,16,33.66666667,Concentrated
7,97,4,36,Concentrated
1,5,4,3.333333333,Drunker
29,67,7,34.33333333,Concentrated
63,12,7,27.33333333,Relaxed
57,73,15,48.33333333,Happy
89,31,13,44.33333333,Happy
45,75,8,42.66666667,Drunker
24,81,1,35.33333333,Concentrated
82,88,21,63.66666667,Fear
92,36,18,48.66666667,Happy
5,47,21,24.33333333,Relaxed
89,96,3,62.66666667,Fear
52,4,17,24.33333333,Relaxed
34,18,16,22.66666667,Relaxed
49,36,2,29,Concentrated
85,87,20,64,Fear
70,86,8,54.66666667,Happy
8,98,15,40.33333333,Concentrated
95,43,10,49.33333333,Happy
56,44,1,33.66666667,Concentrated
32,49,17,32.66666667,Concentrated
38,26,10,24.66666667,Relaxed
39,33,16,29.33333333,Concentrated
77,23,3,34.33333333,Concentrated
33,30,7,23.33333333,Relaxed
25,81,4,36.66666667,Concentrated
40,25,20,28.33333333,Drunker
26,51,20,32.33333333,Concentrated
94,55,1,50,Happy
33,96,10,46.33333333,Happy
74,23,15,37.33333333,Concentrated
8,75,14,32.33333333,Concentrated
60,35,3,32.66666667,Concentrated
95,50,15,53.33333333,Happy
87,13,15,38.33333333,Concentrated
87,49,3,46.33333333,Happy
40,32,17,29.66666667,Concentrated
5,13,15,11,Sad
89,33,19,47,Happy
12,76,9,32.33333333,Concentrated
90,86,6,60.66666667,Fear
95,9,19,41,Concentrated
20,66,8,31.33333333,Concentrated
99,13,2,38,Concentrated
79,46,11,45.33333333,Happy
33,61,21,38.33333333,Concentrated
6,62,16,28,Relaxed
95,24,20,46.33333333,Happy
41,81,15,45.66666667,Happy
92,38,21,50.33333333,Happy
75,98,10,61,Fear
38,80,17,45,Happy
57,9,1,22.33333333,Relaxed
32,94,15,47,Happy
16,89,12,39,Concentrated
20,56,12,29.33333333,Concentrated
4,90,8,34,Concentrated
36,47,6,29.66666667,Concentrated
57,5,10,24,Relaxed
13,96,6,38.33333333,Concentrated
80,71,10,53.66666667,Happy
35,60,10,35,Concentrated
34,89,18,47,Happy
47,61,20,42.66666667,Drunker
83,46,10,46.33333333,Happy
92,33,16,47,Happy
31,44,21,32,Concentrated
