Attention,Meditation,Eye Blink,Average,Emotion,Intensity
9,38,20,22.33333333,Relaxed,Low
1,4,1,2.0,Drunker,Low
33,87,11,43.66666667,Happy,Medium
11,26,21,19.33333333,Relaxed,Low
44,3,21,22.66666667,Relaxed,Low
28,79,1,36.0,Concentrated,Medium
22,2,6,10.0,Sad,Low
82,5,17,34.66666667,Concentrated,Medium
88,32,14,44.66666667,Happy,Medium
22,98,8,42.66666667,Drunker,Medium
50,100,14,54.66666667,Happy,Medium
74,16,10,33.33333333,Concentrated,Medium
79,62,17,52.66666667,Happy,Medium
1,32,12,15.0,Relaxed,Low
64,20,1,28.33333333,Drunker,Low
84,48,7,46.33333333,Happy,Medium
49,87,21,52.33333333,Happy,Medium
31,53,1,28.33333333,Drunker,Low
41,2,6,16.33333333,Relaxed,Low
21,97,18,45.33333333,Happy,Medium
63,99,13,58.33333333,Fear,Medium
5,80,19,34.66666667,Concentrated,Medium
20,10,6,12.0,Sad,Low
38,29,9,25.33333333,Relaxed,Low
12,98,16,42.0,Concentrated,Medium
12,81,11,34.66666667,Concentrated,Medium
26,45,7,26.0,Relaxed,Low
59,87,16,54.0,Happy,Medium
76,61,14,50.33333333,Happy,Medium
70,77,18,55.0,Happy,Medium
98,9,12,39.66666667,Concentrated,Medium
62,74,6,47.33333333,Happy,Medium
17,77,14,36.0,Concentrated,Medium
9,45,8,20.66666667,Relaxed,Low
15,14,9,12.66666667,Sad,Low
29,17,15,20.33333333,Relaxed,Low
47,10,13,23.33333333,Relaxed,Low
70,19,11,33.33333333,Concentrated,Medium
57,46,1,34.66666667,Concentrated,Medium
27,57,12,32.0,Concentrated,Medium
76,35,12,41.0,Concentrated,Medium
14,4,7,8.333333333,Sad,Low
4,62,10,25.33333333,Relaxed,Low
21,98,7,42.0,Concentrated,Medium
59,65,5,43.0,Happy,Medium
64,21,11,32.0,Concentrated,Medium
56,58,12,42.0,Concentrated,Medium
30,84,17,43.66666667,Happy,Medium
7,82,12,33.66666667,Concentrated,Medium
24,1,5,10.0,Sad,Low
85,4,8,32.33333333,Concentrated,Medium
38,80,18,45.33333333,Happy,Medium
55,30,1,28.66666667,Drunker,Low
69,26,12,35.66666667,Concentrated,Medium
8,14,12,11.33333333,Sad,Low
18,23,8,16.33333333,Relaxed,Low
92,12,9,37.66666667,Concentrated,Medium
36,42,7,28.33333333,Drunker,Low
93,79,19,63.66666667,Fear,High
71,11,12,31.33333333,Concentrated,Medium
1,93,2,32.0,Concentrated,Medium
92,46,14,50.66666667,Happy,Medium
56,20,20,32.0,Concentrated,Medium
86,100,7,64.33333333,Fear,High
99,80,3,60.66666667,Fear,High
4,43,14,20.33333333,Relaxed,Low
6,67,10,27.66666667,Relaxed,Low
13,97,5,38.33333333,Concentrated,Medium
6,25,5,12.0,Sad,Low
26,69,3,32.66666667,Concentrated,Medium
32,8,6,15.33333333,Relaxed,Low
12,73,18,34.33333333,Concentrated,Medium
37,95,21,51.0,Happy,Medium
68,11,18,32.33333333,Concentrated,Medium
74,100,6,60.0,Fear,High
73,87,19,59.66666667,Fear,Medium
45,78,15,46.0,Happy,Medium
4,34,8,15.33333333,Relaxed,Low
33,72,3,36.0,Concentrated,Medium
97,74,20,63.66666667,Fear,High
74,50,7,43.66666667,Happy,Medium
43,80,13,45.33333333,Happy,Medium
68,51,5,41.33333333,Concentrated,Medium
49,64,11,41.33333333,Concentrated,Medium
70,99,3,57.33333333,Fear,Medium
51,1,11,21.0,Relaxed,Low
5,35,1,13.66666667,Sad,Low
89,47,20,52.0,Happy,Medium
56,93,21,56.66666667,Drunker,Medium
16,5,5,8.666666667,Sad,Low
38,52,13,34.33333333,Concentrated,Medium
17,83,18,39.33333333,Concentrated,Medium
55,72,5,44.0,Happy,Medium
47,89,13,49.66666667,Happy,Medium
70,90,19,59.66666667,Fear,Medium
100,96,2,66.0,Fear,High
76,34,15,41.66666667,Concentrated,Medium
66,9,8,27.66666667,Relaxed,Low
80,12,20,37.33333333,Concentrated,Medium
70,59,3,44.0,Happy,Medium
68,35,7,36.66666667,Concentrated,Medium
55,35,21,37.0,Concentrated,Medium
72,13,8,31.0,Concentrated,Medium
47,70,15,44.0,Happy,Medium
85,11,3,33.0,Concentrated,Medium
43,19,13,25.0,Relaxed,Low
70,77,8,51.66666667,Happy,Medium
46,24,14,28.0,Relaxed,Low
12,26,17,18.33333333,Relaxed,Low
88,48,5,47.0,Happy,Medium
53,79,20,50.66666667,Happy,Medium
48,77,18,47.66666667,Happy,Medium
68,73,13,51.33333333,Happy,Medium
27,72,13,37.33333333,Concentrated,Medium
16,65,1,27.33333333,Relaxed,Low
97,12,20,43.0,Happy,Medium
4,52,9,21.66666667,Relaxed,Low
24,22,7,17.66666667,Relaxed,Low
42,19,21,27.33333333,Relaxed,Low
77,79,4,53.33333333,Happy,Medium
10,86,10,35.33333333,Concentrated,Medium
35,18,11,21.33333333,Relaxed,Low
58,54,9,40.33333333,Concentrated,Medium
61,52,9,40.66666667,Concentrated,Medium
1,11,11,7.666666667,Sad,Low
69,78,5,50.66666667,Happy,Medium
63,34,11,36.0,Concentrated,Medium
60,16,3,26.33333333,Relaxed,Low
90,36,17,47.66666667,Happy,Medium
15,93,19,42.33333333,Drunker,Medium
14,92,13,39.66666667,Concentrated,Medium
32,21,10,21.0,Relaxed,Low
13,33,21,22.33333333,Relaxed,Low
69,61,15,48.33333333,Happy,Medium
88,31,6,41.66666667,Concentrated,Medium
85,95,16,65.33333333,Fear,High
3,42,5,16.66666667,Relaxed,Low
39,18,1,19.33333333,Relaxed,Low
